First name;Surname;City;Short;zbrane tocke;minute;Time;Pl
Dušan;Petrovic;Orientacijski Klub Polaris;A;440;1;40:00;1
Edi;Ocvirk;OK Japetic;A;440;1;40:00;1
Ivan;Boyadzhiev ml.;Mariborski OK;A;410;0;42:26;3
Miha;Škarabot;Orientacijski Klub Polaris;A;360;0;48:20;4
Blaž;Petrovic;Orientacijski Klub Polaris;A;330;4;48:20;5
Aleš;Furlan;Mariborski OK;A;200;0;87:00;6
Ivan;Boyadzhiev;Mariborski OK;A;210;6;96:40;7
Andrej;Žnidaric;Individuals/No club;A;180;13;151:18;8
Gašper;Petrovic;Orientacijski Klub Polaris;A;110;0;158:11;9
Matej;Škarabot;Orientacijski Klub Polaris;A;110;0;158:11;10
Herwig;Allwinger;Mariborski OK;B;30:00;5;250;1
Herwig Jr.;Allwinger;Mariborski OK;B;30:00;5;250;1
Gerhard;Jöbstl;OLC Graz;B;200;3;44:00;3
Janez;Šumecki;Rod Jezerski zmaj Velenje;B;48:00;5;150;4
Pia;Ocvirk;OK Japetic;B;140;0;58:00;5
Marko & Gang;Uranjek;Mariborski OK;C;120;0;20:00;1
